,Favorites,Followers,Friends,Value
50,2095,885616,46697,Sat Mar 25 08:12:51 +0000 2017
51,2095,885620,46697,Sat Mar 25 09:05:11 +0000 2017
52,2095,885663,46697,Sat Mar 25 14:02:39 +0000 2017
53,2095,885686,46697,Sat Mar 25 16:45:55 +0000 2017
54,2096,885716,46696,Sat Mar 25 18:54:35 +0000 2017
55,2096,885723,46697,Sat Mar 25 22:11:36 +0000 2017
56,2096,885727,46697,Sat Mar 25 22:49:53 +0000 2017
57,2096,885730,46697,Sun Mar 26 01:31:59 +0000 2017
58,2096,885768,46697,Sun Mar 26 11:47:07 +0000 2017
59,2096,885772,46697,Sun Mar 26 12:53:20 +0000 2017
60,2096,885778,46697,Sun Mar 26 13:15:30 +0000 2017
61,2096,885851,46697,Sun Mar 26 16:41:25 +0000 2017
62,2096,885871,46697,Sun Mar 26 17:21:47 +0000 2017
63,2096,886011,46697,Sun Mar 26 19:13:11 +0000 2017
64,2096,886145,46697,Sun Mar 26 20:18:08 +0000 2017
65,2096,887724,46696,Mon Mar 27 19:58:09 +0000 2017
66,2096,887820,46695,Mon Mar 27 21:23:08 +0000 2017
67,2096,888258,46690,Tue Mar 28 09:58:37 +0000 2017
68,2097,888711,46692,Wed Mar 29 09:11:16 +0000 2017
69,2097,888710,46692,Wed Mar 29 09:14:46 +0000 2017
70,2097,888753,46692,Wed Mar 29 11:44:03 +0000 2017
71,2097,888816,46691,Wed Mar 29 15:37:04 +0000 2017
72,2097,889073,46688,Thu Mar 30 08:09:22 +0000 2017
73,2097,889115,46687,Thu Mar 30 13:58:40 +0000 2017
74,2097,889118,46686,Thu Mar 30 15:43:14 +0000 2017
75,2097,889119,46686,Thu Mar 30 15:54:01 +0000 2017
76,2097,889178,46687,Thu Mar 30 20:26:32 +0000 2017
77,2097,889182,46686,Thu Mar 30 21:42:02 +0000 2017
78,2097,889196,46685,Fri Mar 31 00:01:21 +0000 2017
79,2097,889199,46685,Fri Mar 31 00:28:38 +0000 2017
80,2097,889227,46687,Fri Mar 31 05:17:10 +0000 2017
81,2098,889288,46687,Fri Mar 31 13:51:39 +0000 2017
82,2099,889287,46685,Fri Mar 31 15:33:43 +0000 2017
83,2099,889292,46685,Fri Mar 31 15:54:29 +0000 2017
84,2099,889291,46685,Fri Mar 31 16:26:32 +0000 2017
85,2099,889351,46682,Fri Mar 31 21:41:35 +0000 2017
86,2099,889387,46682,Sat Apr 01 00:36:27 +0000 2017
87,2099,889398,46682,Sat Apr 01 01:38:36 +0000 2017
88,2099,889450,46681,Sat Apr 01 06:31:26 +0000 2017
89,2099,889482,46681,Sat Apr 01 11:29:47 +0000 2017
90,2099,889483,46681,Sat Apr 01 11:36:15 +0000 2017
91,2099,889493,46681,Sat Apr 01 12:40:39 +0000 2017
92,2099,889502,46681,Sat Apr 01 13:43:00 +0000 2017
93,2099,889575,46679,Sat Apr 01 19:29:26 +0000 2017
94,2099,889659,46678,Sat Apr 01 23:15:30 +0000 2017
